Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67ffd11a96410ecd8e9708c9,66b00e249d75b352012b545a,TIMED-OUT,Not Applicable,2025-04-16T15:47:46.623000Z,,,2025-04-16T19:19:36.449268Z,12710.0,,1327,Woman (including Trans Female/Trans Woman),52,Male,Black,United States,United States,United States,English,No,Full-Time
67ffe730367ff871a01efed5,67f2af3266845680db269ef4,APPROVED,Not Applicable,2025-04-16T17:23:30.328000Z,2025-04-16T18:30:07.116000Z,2025-04-16T19:19:10.429000Z,2025-04-16T18:30:08.428067Z,3997.0,NOCODE,42,Woman (including Trans Female/Trans Woman),32,Male,White,United States,United States,United States,English,Yes,Full-Time
67fe500be95973239752635f,67fc56e2b76355e0dcb30d27,RETURNED,Not Applicable,2025-04-15T12:24:43.614000Z,,,,,,67,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe51dfb0b84a08a7639dfd,67e210a693a9a51696762ebc,RETURNED,Not Applicable,2025-04-15T12:32:37.996000Z,,,,,,114,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe58042057660bb3eb9e1f,6646c92d35c618e14bba69c5,TIMED-OUT,Not Applicable,2025-04-15T12:58:49.061000Z,,,,125011.0,,678,Man (including Trans Male/Trans Man),30,Male,White,United States,United States,United States,English,Yes,Full-Time
67fe6daa6fff9eb43420a0ff,67e3126f2bfefc992d4dace9,RETURNED,Not Applicable,2025-04-15T14:31:17.109000Z,,,,,,151,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe6e062b7628d125e7fd1d,67571825a80c1bc9ed8f01d8,RETURNED,Not Applicable,2025-04-15T14:32:49.976000Z,,,,,,513,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe7532113a719b386a1fc9,67ab317d4245c4e2b33e2753,RETURNED,Not Applicable,2025-04-15T15:03:56.109000Z,,,,,,566,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe771e599f03814bd70871,671aaeacf1d2a399e8eb238e,RETURNED,Not Applicable,2025-04-15T15:12:08.257000Z,,,,,,569,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe78296066f361d1744820,6640bef4362e289ab16112cc,RETURNED,Not Applicable,2025-04-15T15:15:58.212000Z,,,,,,1707,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe790096e7b91e174a111b,67e19fbdf13997c54d7775dd,RETURNED,Not Applicable,2025-04-15T15:19:28.345000Z,,,,,,90,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe7b91aa9c8fbbd202305c,67f388f6bdae4ce65f6d2d2b,RETURNED,Not Applicable,2025-04-15T15:31:52.467000Z,,,,,,65,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe7c41bf633cc0b6949de6,677fd8f97de41a9b7be91145,RETURNED,Not Applicable,2025-04-15T15:35:37.051000Z,,,,,,798,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe7cec799e48de3d98f6b3,67d1c6f75924f955cfab2041,RETURNED,Not Applicable,2025-04-15T15:36:28.299000Z,,,,,,54,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe8275b354fa721a8ef482,6769c7a3e14b5a83002b750e,RETURNED,Not Applicable,2025-04-15T15:59:54.396000Z,,,,,,70,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe83c64ceb8ac4cad06344,600f3412a0d1210d20dc4a4e,RETURNED,Not Applicable,2025-04-15T16:05:31.291000Z,,,,,,325,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe83e7e6c496d51b122c34,66c9f7fd98cb4c8f77f98b27,RETURNED,Not Applicable,2025-04-15T16:07:17.356000Z,,,,,,600,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe846de7e2d81d5c381dac,67d933a6939390178799a6b6,RETURNED,Not Applicable,2025-04-15T16:10:48.983000Z,,,,,,265,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe87aec12c0e2963d99c52,66bfce1494d41c5415a5fddd,RETURNED,Not Applicable,2025-04-15T16:23:41.448000Z,,,,,,500,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe885df52bb2dbcdf73eaf,67e09140d3b97fa530c719c3,RETURNED,Not Applicable,2025-04-15T16:26:05.234000Z,,,,,,156,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe89094d4224928856add8,63ecff07b619306f41db42fa,RETURNED,Not Applicable,2025-04-15T16:27:53.736000Z,,,,,,3106,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe893576274ae0764b320b,67f575a10a611995709da33e,RETURNED,Not Applicable,2025-04-15T16:28:52.541000Z,,,,,,64,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe8998810bd9e29d4caaf8,678f6e1f6a3d68ee8c1533f5,RETURNED,Not Applicable,2025-04-15T16:30:29.620000Z,,,,,,291,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe89ecfc446a153fa72921,66d2af66151a540b5d622d36,RETURNED,Not Applicable,2025-04-15T16:32:39.896000Z,,,,,,1108,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
67fe8f6a8c0cd00dae95cb95,67fa1bdfeb11bec34cfc29e8,APPROVED,Not Applicable,2025-04-15T16:55:10.961000Z,2025-04-15T17:30:56.937000Z,2025-04-15T17:30:57.854000Z,2025-04-15T17:30:57.695973Z,2146.0,C1DSW210,3,Man (including Trans Male/Trans Man),30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
67fea31be3b40301b3d5e5a9,66d66b8e044e8ec3d8f4244e,APPROVED,Not Applicable,2025-04-15T18:19:21.395000Z,2025-04-15T18:42:11.303000Z,2025-04-15T18:42:12.508000Z,2025-04-15T18:42:12.404194Z,1370.0,C1DSW210,1075,Man (including Trans Male/Trans Man),31,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
680003e18df3c7dc1329062c,671fa6180f40e3f4ef75f68c,APPROVED,Not Applicable,2025-04-16T19:24:26.354000Z,2025-04-16T20:12:15.189000Z,2025-04-16T20:12:38.638000Z,2025-04-16T20:12:16.290949Z,2869.0,C1DSW210,138,Man (including Trans Male/Trans Man),30,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
